"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"1 - Stars",1901318,"organic search","desktop","US","female",13,2144,27,6,357.33
"2 - High enders",1576624,"paid","desktop","US","female",74,1764,26,22,80.18
"1 - Stars",1683542,"organic search","desktop","US","female",253,1631,22,3,543.67
"1 - Stars",1372724,"direct","mobile","US","female",349,1543,21,2,771.5
"1 - Stars",1465736,"paid","mobile","US","female",105,1501,21,6,250.17
"2 - High enders",1483528,"paid","desktop","US","female",6,1412,20,13,108.62
"1 - Stars",1344436,"direct","desktop","US","female",12,1321,17,7,188.71
"1 - Stars",1429978,"organic search","desktop","US","female",13,1289,16,8,161.12
"2 - High enders",1557392,"organic search","mobile","US","female",24,1133,15,8,141.62
"1 - Stars",1679443,"organic search","mobile","US","female",46,1043,13,7,149
"3 - Cash cows",1313341,"organic search","desktop","US","female",35,165,3,1,165
"3 - Cash cows",1637088,"direct","desktop","US","female",383,165,3,1,165
"3 - Cash cows",1958571,"paid","desktop","US","female",177,165,3,1,165
"3 - Cash cows",1510867,"organic search","desktop","US","female",50,165,3,3,55
"3 - Cash cows",1323066,"paid","desktop","US","female",86,166,2,1,166
"3 - Cash cows",1468621,"paid","desktop","US","female",494,166,2,1,166
"3 - Cash cows",1705778,"paid","desktop","international","female",53,166,2,1,166
"3 - Cash cows",2059995,"organic search","desktop","US","female",32,166,2,1,166
"3 - Cash cows",2235408,"paid","mobile","international","female",115,166,2,1,166
"3 - Cash cows",2295795,"organic search","desktop","US","female",97,166,2,1,166
"3 - Cash cows",1595388,"paid","desktop","US","female",317,166,2,2,83
"3 - Cash cows",1688883,"paid","desktop","US","female",324,166,2,2,83
"3 - Cash cows",1693942,"direct","mobile","US","female",38,166,2,2,83
"3 - Cash cows",2282290,"organic search","mobile","international","female",95,167,2,1,167
"3 - Cash cows",2120011,"direct","mobile","US","female",130,168,3,2,84
"3 - Cash cows",1432991,"direct","desktop","US","female",171,171,3,2,85.5
"3 - Cash cows",1630009,"email","mobile","US","female",5,172,3,2,86
"3 - Cash cows",769281,"email","desktop","US","female",340,173,2,1,173
"3 - Cash cows",779773,"email","desktop","US","female",248,174,3,1,174
"3 - Cash cows",1435351,"organic search","desktop","US","female",368,175,3,3,58.33
"3 - Cash cows",238440,"organic search","desktop","international","male",264,176,2,1,176
"3 - Cash cows",552755,"organic search","desktop","international","female",191,176,2,1,176
"3 - Cash cows",553303,"email","mobile","US","female",256,176,2,1,176
"3 - Cash cows",629212,"email","mobile","US","female",489,176,2,1,176
"3 - Cash cows",708524,"direct","desktop","US","female",83,176,2,1,176
"3 - Cash cows",729576,"direct","desktop","US","female",256,176,2,1,176
"3 - Cash cows",781180,"paid","mobile","US","female",70,176,2,1,176
"3 - Cash cows",1383712,"direct","desktop","international","female",43,176,2,1,176
"3 - Cash cows",1455542,"organic search","desktop","US","female",507,176,2,1,176
"3 - Cash cows",1491177,"organic search","desktop","US","female",466,176,2,1,176
"3 - Cash cows",1520329,"paid","mobile","US","female",283,176,2,1,176
"3 - Cash cows",1640579,"paid","mobile","US","female",286,176,2,1,176
"3 - Cash cows",1743886,"direct","mobile","US","female",332,176,2,1,176
"3 - Cash cows",1914761,"organic search","desktop","international","female",243,176,2,1,176
"3 - Cash cows",1931088,"organic search","desktop","US","male",248,176,2,1,176
"3 - Cash cows",1941670,"organic search","mobile","international","female",116,176,2,1,176
"3 - Cash cows",1973619,"organic search","desktop","US","female",229,176,2,1,176
"3 - Cash cows",2042174,"paid","mobile","US","female",178,176,2,1,176
"3 - Cash cows",2105529,"organic search","mobile","US","female",162,176,2,1,176
"3 - Cash cows",2202120,"direct","desktop","US","female",123,176,2,1,176
"3 - Cash cows",2203427,"other","mobile","US","female",96,176,2,1,176
"3 - Cash cows",2248994,"organic search","desktop","US","female",39,176,2,1,176
"3 - Cash cows",2289551,"paid","mobile","international","female",5,176,2,1,176
"3 - Cash cows",2314707,"direct","desktop","US","female",93,176,2,1,176
"3 - Cash cows",2325337,"direct","mobile","US","female",90,176,2,1,176
"3 - Cash cows",2349217,"organic search","desktop","US","female",83,176,2,1,176
"3 - Cash cows",2401671,"direct","desktop","international","female",64,176,2,1,176
"3 - Cash cows",2413754,"paid","desktop","US","female",60,176,2,1,176
"3 - Cash cows",2527690,"direct","desktop","US","female",20,176,2,1,176
"3 - Cash cows",2543205,"organic search","desktop","US","female",29,176,2,1,176
"3 - Cash cows",2576462,"paid","desktop","US","female",23,176,2,1,176
"3 - Cash cows",388100,"direct","desktop","US","female",226,176,2,2,88
"3 - Cash cows",1340960,"paid","desktop","US","female",18,176,2,2,88
"3 - Cash cows",1353757,"direct","desktop","US","female",12,176,2,2,88
"3 - Cash cows",1456655,"organic search","desktop","US","female",368,176,2,2,88
"3 - Cash cows",1505290,"paid","desktop","international","female",81,176,2,2,88
"3 - Cash cows",1507056,"paid","desktop","US","female",46,176,2,2,88
"3 - Cash cows",1536506,"organic search","desktop","US","female",353,176,2,2,88
"3 - Cash cows",1583435,"paid","desktop","US","female",6,176,2,2,88
"3 - Cash cows",1683738,"paid","mobile","US","female",127,176,2,2,88
"3 - Cash cows",1757849,"paid","desktop","US","female",184,176,2,2,88
"3 - Cash cows",1931285,"direct","mobile","US","female",226,176,2,2,88
"3 - Cash cows",2092487,"paid","desktop","US","female",14,176,2,2,88
"3 - Cash cows",2326836,"paid","desktop","US","female",25,176,2,2,88
"3 - Cash cows",2339207,"organic search","desktop","US","female",51,176,2,2,88
"3 - Cash cows",2434059,"paid","mobile","US","female",6,176,2,2,88
"3 - Cash cows",871866,"direct","desktop","US","female",31,181,3,1,181
"3 - Cash cows",1395995,"direct","desktop","US","female",116,181,3,2,90.5
"3 - Cash cows",1707026,"paid","mobile","US","female",236,181,3,2,90.5
"3 - Cash cows",995398,"paid","desktop","US","female",62,181,3,3,60.33
"3 - Cash cows",2281693,"organic search","desktop","US","female",100,183,2,1,183
"3 - Cash cows",2421729,"paid","desktop","international","female",57,183,2,1,183
"3 - Cash cows",2432985,"organic search","mobile","international","female",53,183,2,1,183
"3 - Cash cows",1599271,"organic search","desktop","US","female",78,184,3,1,184
"3 - Cash cows",751661,"organic search","mobile","US","female",37,186,2,1,186
"3 - Cash cows",852025,"paid","desktop","US","female",109,186,2,1,186
"3 - Cash cows",1412836,"organic search","desktop","US","female",67,186,2,1,186
"3 - Cash cows",1506183,"direct","desktop","international","female",118,186,3,1,186
"3 - Cash cows",1689044,"paid","desktop","US","female",354,186,2,1,186
"3 - Cash cows",1960855,"organic search","desktop","US","female",39,186,2,1,186
"3 - Cash cows",2148292,"paid","mobile","US","female",43,186,2,1,186
"3 - Cash cows",2253599,"organic search","desktop","US","female",111,186,2,1,186
"3 - Cash cows",2275996,"direct","desktop","international","female",103,186,2,1,186
"3 - Cash cows",2490165,"organic search","desktop","international","female",41,186,2,1,186
"3 - Cash cows",2507340,"organic search","desktop","international","female",36,186,2,1,186
"3 - Cash cows",2524707,"direct","mobile","US","female",26,186,2,1,186
"3 - Cash cows",1422983,"organic search","mobile","US","female",26,186,2,2,93
"3 - Cash cows",1926217,"organic search","desktop","international","female",249,188,3,1,188
"3 - Cash cows",1711591,"paid","mobile","US","female",6,188,3,2,94
"3 - Cash cows",806459,"email","mobile","US","female",98,190,2,1,190
"3 - Cash cows",1932495,"paid","mobile","international","female",245,193,3,1,193
"3 - Cash cows",1466396,"paid","desktop","international","female",145,195,3,1,195
"3 - Cash cows",1602913,"email","mobile","US","female",119,195,3,1,195
"3 - Cash cows",1716923,"direct","desktop","US","female",325,195,3,1,195
"3 - Cash cows",2399649,"paid","mobile","US","female",65,195,3,1,195
"3 - Cash cows",2469352,"other","desktop","US","female",45,195,3,1,195
"3 - Cash cows",1460057,"other","desktop","US","female",454,195,3,2,97.5
"3 - Cash cows",1506705,"direct","desktop","US","female",376,195,3,2,97.5
"3 - Cash cows",1785425,"paid","desktop","US","female",133,195,3,3,65
"3 - Cash cows",1797209,"paid","mobile","US","female",172,195,3,3,65
"3 - Cash cows",2284322,"direct","desktop","US","female",85,195,3,3,65
"3 - Cash cows",254176,"email","desktop","US","male",28,196,2,1,196
"3 - Cash cows",2189784,"organic search","desktop","US","female",130,196,2,1,196
"3 - Cash cows",2595674,"paid","desktop","US","female",19,196,2,1,196
"3 - Cash cows",1470648,"direct","mobile","US","female",84,196,2,2,98
"3 - Cash cows",1605215,"direct","desktop","US","female",17,196,2,2,98
"3 - Cash cows",1660883,"other","desktop","US","female",237,196,2,2,98
"3 - Cash cows",1706332,"organic search","mobile","international","female",302,196,2,2,98
"3 - Cash cows",1769008,"paid","desktop","US","female",271,196,2,2,98
"3 - Cash cows",1775656,"paid","mobile","US","female",155,196,2,2,98
"3 - Cash cows",1958628,"paid","mobile","US","female",186,196,2,2,98
"3 - Cash cows",1994812,"other","desktop","US","female",83,196,2,2,98
"3 - Cash cows",538825,"paid","desktop","international","female",312,198,3,1,198
"3 - Cash cows",1462630,"paid","desktop","US","male",128,198,3,1,198
"3 - Cash cows",2558626,"email","desktop","US","female",16,198,3,2,99
"3 - Cash cows",2159543,"organic search","desktop","US","female",28,200,3,2,100
"3 - Cash cows",862150,"paid","desktop","US","female",138,201,3,1,201
"3 - Cash cows",2590632,"paid","mobile","US","female",20,201,3,1,201
"3 - Cash cows",1665401,"organic search","desktop","US","female",37,201,3,2,100.5
"3 - Cash cows",1420741,"organic search","desktop","US","female",140,201,3,3,67
"3 - Cash cows",1462147,"paid","mobile","US","female",204,204,3,2,102
"3 - Cash cows",1245497,"email","mobile","international","female",404,208,3,1,208
"3 - Cash cows",2211176,"direct","mobile","US","female",99,208,3,1,208
"3 - Cash cows",1926253,"paid","desktop","US","female",240,208,3,2,104
"3 - Cash cows",1145501,"email","desktop","US","female",145,208,3,3,69.33
"3 - Cash cows",945832,"paid","desktop","international","female",43,210,3,1,210
"3 - Cash cows",1290358,"paid","desktop","US","female",83,211,3,1,211
"3 - Cash cows",2145921,"organic search","desktop","US","female",146,211,3,1,211
"3 - Cash cows",2010707,"organic search","mobile","US","female",154,213,4,2,106.5
"3 - Cash cows",1495291,"organic search","desktop","US","female",6,217,4,2,108.5
"3 - Cash cows",2145783,"organic search","desktop","US","female",146,218,3,1,218
"3 - Cash cows",1850288,"email","desktop","US","female",61,218,3,2,109
"3 - Cash cows",1924217,"paid","desktop","US","female",6,218,3,2,109
"3 - Cash cows",1477676,"organic search","desktop","US","female",62,218,3,3,72.67
"3 - Cash cows",929050,"paid","desktop","US","female",41,220,4,4,55
"3 - Cash cows",1447412,"organic search","desktop","US","female",75,221,3,2,110.5
"3 - Cash cows",1582987,"organic search","desktop","US","female",103,221,3,3,73.67
"3 - Cash cows",1576497,"organic search","desktop","US","female",197,222,3,1,222
"3 - Cash cows",1385618,"organic search","desktop","US","female",60,223,3,3,74.33
"3 - Cash cows",1964580,"other","desktop","international","female",233,224,3,1,224
"3 - Cash cows",1654759,"organic search","mobile","US","female",82,224,4,3,74.67
"3 - Cash cows",2181834,"direct","desktop","US","female",6,225,3,2,112.5
"3 - Cash cows",2048040,"organic search","desktop","US","female",189,227,3,1,227
"3 - Cash cows",1512255,"paid","mobile","US","female",133,228,3,1,228
"3 - Cash cows",1470968,"paid","desktop","US","female",61,228,3,2,114
"3 - Cash cows",1841064,"organic search","desktop","US","female",287,231,3,1,231
"3 - Cash cows",2046396,"paid","mobile","US","female",189,231,3,1,231
"3 - Cash cows",2121666,"direct","desktop","US","female",29,231,3,1,231
"3 - Cash cows",1594074,"direct","desktop","international","male",392,231,3,2,115.5
"3 - Cash cows",2070818,"paid","mobile","US","female",3,231,4,3,77
"3 - Cash cows",1570258,"email","desktop","US","female",28,234,3,2,117
"3 - Cash cows",1670809,"email","desktop","US","female",27,234,3,2,117
"3 - Cash cows",1553956,"email","desktop","US","female",306,235,3,1,235
"3 - Cash cows",1254992,"paid","desktop","US","female",61,235,4,3,78.33
"3 - Cash cows",351111,"organic search","desktop","US","female",89,239,4,1,239
"3 - Cash cows",1314678,"organic search","desktop","US","female",63,241,3,1,241
"3 - Cash cows",2243309,"direct","desktop","US","female",114,241,3,1,241
"3 - Cash cows",1645067,"paid","desktop","US","female",364,241,3,2,120.5
"3 - Cash cows",1645472,"paid","desktop","US","female",253,241,3,2,120.5
"3 - Cash cows",2285926,"organic search","desktop","US","female",59,244,3,2,122
"3 - Cash cows",1460395,"organic search","desktop","international","female",46,244,3,3,81.33
"3 - Cash cows",1690027,"paid","desktop","international","female",46,244,3,3,81.33
"3 - Cash cows",1487321,"paid","desktop","US","female",69,246,4,2,123
"3 - Cash cows",1736934,"organic search","desktop","international","female",126,246,4,2,123
"3 - Cash cows",1936926,"other","desktop","international","female",113,246,4,2,123
"3 - Cash cows",1617281,"email","desktop","US","female",144,246,4,4,61.5
"3 - Cash cows",1937006,"organic search","mobile","US","female",82,248,3,1,248
"3 - Cash cows",1343800,"email","desktop","international","female",108,252,3,1,252
"3 - Cash cows",1374332,"direct","desktop","US","female",3,252,4,4,63
"3 - Cash cows",863462,"paid","desktop","US","female",157,253,4,3,84.33
"3 - Cash cows",1751512,"direct","desktop","US","female",21,253,4,3,84.33
"3 - Cash cows",1324269,"organic search","desktop","US","female",156,254,3,2,127
"3 - Cash cows",1737976,"paid","desktop","US","female",334,260,4,1,260
"3 - Cash cows",2225797,"organic search","desktop","international","female",70,260,4,1,260
"3 - Cash cows",317605,"paid","desktop","US","female",16,260,4,2,130
"3 - Cash cows",1635785,"organic search","desktop","US","female",14,260,4,4,65
"3 - Cash cows",2060630,"other","desktop","international","female",106,261,3,2,130.5
"3 - Cash cows",2229338,"organic search","desktop","US","female",16,261,3,3,87
"3 - Cash cows",1667348,"direct","desktop","US","female",21,264,3,1,264
"3 - Cash cows",2339035,"direct","mobile","US","female",46,264,3,1,264
"3 - Cash cows",2524515,"direct","desktop","US","female",33,264,3,1,264
"3 - Cash cows",1385833,"organic search","desktop","international","female",111,264,3,2,132
"3 - Cash cows",1481783,"direct","desktop","US","female",48,264,3,2,132
"3 - Cash cows",1893202,"organic search","mobile","international","female",152,264,3,2,132
"3 - Cash cows",2243200,"paid","desktop","US","female",63,264,3,2,132
"3 - Cash cows",2405136,"organic search","desktop","US","female",28,264,3,2,132
"3 - Cash cows",1320735,"organic search","desktop","US","female",235,264,3,3,88
"3 - Cash cows",1576963,"direct","desktop","US","female",351,264,3,3,88
"3 - Cash cows",1649342,"direct","desktop","US","female",23,264,3,3,88
"3 - Cash cows",694328,"paid","desktop","US","female",244,266,4,1,266
"3 - Cash cows",2211212,"direct","mobile","US","female",120,266,4,1,266
"3 - Cash cows",1439213,"organic search","desktop","US","female",134,270,4,2,135
"3 - Cash cows",946756,"other","desktop","US","female",106,271,3,2,135.5
"3 - Cash cows",1701002,"organic search","desktop","international","female",131,273,4,2,136.5
"3 - Cash cows",1778158,"organic search","mobile","US","female",307,274,3,1,274
"3 - Cash cows",2613383,"paid","mobile","international","female",13,274,3,1,274
"3 - Cash cows",988520,"paid","desktop","US","female",147,274,3,2,137
"3 - Cash cows",1402805,"organic search","desktop","US","female",229,274,3,2,137
"3 - Cash cows",2111066,"organic search","desktop","US","female",3,274,3,2,137
"3 - Cash cows",2540778,"paid","mobile","US","female",29,274,3,2,137
"3 - Cash cows",1439269,"organic search","desktop","US","female",105,274,3,3,91.33
"3 - Cash cows",2053816,"organic search","desktop","US","female",11,274,3,3,91.33
"3 - Cash cows",1574724,"other","mobile","US","female",420,276,4,1,276
"3 - Cash cows",830457,"paid","desktop","US","female",311,276,4,2,138
"3 - Cash cows",1453148,"direct","desktop","US","female",234,279,4,1,279
"3 - Cash cows",1433304,"paid","desktop","US","female",1,282,4,2,141
"3 - Cash cows",2282063,"paid","mobile","US","female",57,283,4,1,283
"3 - Cash cows",2168806,"paid","desktop","US","female",5,283,4,3,94.33
"3 - Cash cows",1906591,"organic search","desktop","US","female",38,284,3,1,284
"3 - Cash cows",1338164,"other","desktop","US","female",171,284,4,3,94.67
"3 - Cash cows",1425650,"organic search","desktop","US","female",28,284,4,3,94.67
"3 - Cash cows",1873337,"paid","mobile","US","female",255,288,4,2,144
"3 - Cash cows",1739804,"direct","desktop","US","female",333,289,4,1,289
"3 - Cash cows",1522095,"paid","desktop","US","female",394,292,4,1,292
"3 - Cash cows",2062279,"organic search","desktop","international","female",145,292,4,1,292
"3 - Cash cows",1573113,"direct","mobile","US","female",268,292,4,2,146
"3 - Cash cows",1951797,"paid","mobile","US","female",32,293,4,2,146.5
"3 - Cash cows",2623240,"other","desktop","international","female",11,294,3,1,294
"3 - Cash cows",1421785,"paid","desktop","US","female",42,294,3,2,147
"3 - Cash cows",1322387,"direct","mobile","US","female",161,294,3,3,98
"3 - Cash cows",1083959,"direct","desktop","US","female",144,299,4,3,99.67
"3 - Cash cows",1569616,"organic search","desktop","international","female",81,299,4,3,99.67
"3 - Cash cows",1971572,"paid","desktop","US","female",48,299,4,4,74.75
"3 - Cash cows",1807881,"organic search","desktop","US","female",1,300,5,4,75
"3 - Cash cows",1453328,"organic search","desktop","US","female",511,306,4,1,306
"3 - Cash cows",2568290,"paid","desktop","US","female",25,306,4,1,306
"3 - Cash cows",1192981,"paid","mobile","international","female",94,312,4,2,156
"3 - Cash cows",874255,"organic search","mobile","international","female",193,316,4,2,158
"3 - Cash cows",1070633,"direct","mobile","international","female",38,316,4,2,158
"3 - Cash cows",971985,"organic search","desktop","US","female",22,318,5,4,79.5
"3 - Cash cows",1304469,"paid","desktop","US","female",38,321,4,2,160.5
"3 - Cash cows",1448461,"other","mobile","US","female",6,323,4,2,161.5
"3 - Cash cows",2282420,"paid","desktop","US","female",99,326,4,1,326
"3 - Cash cows",1121470,"direct","mobile","US","female",61,328,5,2,164
"3 - Cash cows",1910260,"organic search","desktop","US","female",188,329,4,3,109.67
"3 - Cash cows",751074,"organic search","mobile","US","female",139,332,4,1,332
"3 - Cash cows",1527260,"email","mobile","US","female",371,332,4,1,332
"3 - Cash cows",2034281,"paid","desktop","US","female",195,332,4,1,332
